ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;-7.3;71.5;2.28
0.0;0.0;0.0;-7.05;71.5;2.07
0.0;0.0;0.0;-7.06;71.5;2.0
0.0;0.0;0.0;-6.97;71.5;1.93
0.0;0.0;0.0;-7.38;77.6;1.93
90.0;279.57;52.0;-7.39;77.6;1.93
196.0;356.92;105.0;-6.39;71.55;2.14
292.0;485.45;127.0;-4.7;60.95;2.21
341.0;514.39;143.0;-3.31;61.1;2.41
353.0;573.66;131.0;-2.31;56.45;2.48
318.0;612.81;106.0;-1.9;54.3;2.62
234.0;589.59;78.0;-1.74;54.4;2.62
116.0;498.4;42.0;-2.17;58.95;2.14
0.0;0.0;0.0;-3.14;66.45;1.66
0.0;0.0;0.0;-4.03;71.95;1.45
0.0;0.0;0.0;-4.65;71.95;1.31
0.0;0.0;0.0;-5.35;74.8;1.03
0.0;0.0;0.0;-5.47;74.8;0.97
0.0;0.0;0.0;-5.45;74.8;0.83
0.0;0.0;0.0;-5.36;74.8;0.76
0.0;0.0;0.0;-5.37;74.8;0.69
0.0;0.0;0.0;-5.49;71.75;0.48
0.0;0.0;0.0;-5.71;71.75;0.34
0.0;0.0;0.0;-5.72;68.85;0.48
0.0;0.0;0.0;-6.12;71.65;0.76
0.0;0.0;0.0;-6.46;74.6;0.97
0.0;0.0;0.0;-6.0;71.65;0.97
0.0;0.0;0.0;-5.59;68.85;0.83
0.0;0.0;0.0;-5.7;74.8;0.9
61.0;57.64;53.0;-5.4;74.8;0.69
105.0;19.37;100.0;-3.49;75.05;0.34
149.0;23.3;141.0;-1.87;72.3;0.07
222.0;92.63;186.0;-0.75;67.0;0.55
182.0;30.7;170.0;0.11;67.1;0.9
157.0;28.57;147.0;0.62;67.2;1.24
