ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;-2.89;84.8;5.59
17.0;0.0;17.0;-2.66;84.85;5.72
62.0;0.0;62.0;-2.63;84.85;7.52
45.0;0.0;45.0;-2.88;91.8;5.93
46.0;0.0;46.0;-2.91;91.8;6.0
51.0;0.0;51.0;-3.02;91.8;5.59
54.0;0.0;54.0;-3.08;91.8;5.72
0.0;0.0;0.0;-3.14;91.8;5.52
7.0;0.0;7.0;-3.19;88.25;6.76
0.0;0.0;0.0;-3.15;91.8;6.9
0.0;0.0;0.0;-3.1;91.8;6.9
0.0;0.0;0.0;-3.07;91.8;6.55
0.0;0.0;0.0;-3.13;91.8;6.07
0.0;0.0;0.0;-3.97;91.75;5.38
0.0;0.0;0.0;-4.09;91.75;5.03
0.0;0.0;0.0;-4.22;88.15;4.76
0.0;0.0;0.0;-4.38;88.15;4.48
0.0;0.0;0.0;-4.6;84.65;4.28
